"created_at","timestamp_ms","id","extended_full_text","user_id","user_screen_name","user_name","user_followers_count","user_location","user_created_at","user_friends_count","user_statuses_count","user_verified","id_str","source","truncated","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","contributors","is_quote_status","quote_count","reply_count","retweet_count","favorite_count","favorited","retweeted","filter_level","lang","possibly_sensitive","withheld_copyright","place_name","text","long","lat","quoted_status_id_str","place_country_code","rt_id","rt_user_name","rt_extended_full_text","rt_text","rt_favorite_count","rt_friends_count","rt_followers_count","rt_statuses_count","rt_user_id","rt_retweet_count","rt_reply_count","rt_quote_count","rt_user_verified","rt_user_location","rt_truncated","rt_source","rt_created_at","rt_user_screen_name","lat_float","long_float","hour","year","month","day","date"
"Tue Apr 23 15:19:06 +0000 2013","1366730346000","326777268351401984","Please help us The Armenians spread the world #RecognizeArmenianGenocide #1915NeverAgain #24April1915 :( http://t.co/EvZeq5Pcry",,"Lolipoplove1D","Armenian Genocide ","1482",,"Mon Nov 28 10:38:08 +0000 2011","931","11448",,,"web","false",,"null",,"null",,,,,,,,,,"ru",,,"null","Please help us The Armenians spread the world #RecognizeArmenianGenocide #1915NeverAgain #24April1915 :( http://t.co/EvZeq5Pcry","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"15","2013","04","23","04/23/2013"
"Wed Apr 24 15:35:48 +0000 2013","1366817748000","327143858897043457","RT @nanorbabian: The truth will set you free #RecognizeArmenianGenocide 
#ArmenianGenocide
#1915NeverAgain",,"Sareeenn","Sareen Habeshian","308",,"Fri Oct 21 20:24:24 +0000 2011","324","15876",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,,,,,"en",,,"null","RT @nanorbabian: The truth will set you free #RecognizeArmenianGenocide 
#ArmenianGenocide
#1915NeverAgain","0.00000","0.00000",,"null","327141233510211585","Nanor Babian","The truth will set you free #RecognizeArmenianGenocide 
#ArmenianGenocide
#1915NeverAgain","The truth will set you free #RecognizeArmenianGenocide 
#ArmenianGenocide
#1915NeverAgain",,"269","300","4488",,"0",,,,,,,"Wed Apr 24 15:25:22 +0000 2013","nanorbabian",,,"15","2013","04","24","04/24/2013"
"Wed Apr 24 01:43:03 +0000 2013","1366767783000","326934290501869568","RT @Sareeenn: Those who cannot remember the past are condemned to repeat it #ArmenianGenocide #1915neveragain #RecognizeTheArmenianGenocide",,"Gracemardi_","GraceM â€ ","182",,"Tue Jan 04 01:45:45 +0000 2011","211","3888",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,,,,,"en",,,"null","RT @Sareeenn: Those who cannot remember the past are condemned to repeat it #ArmenianGenocide #1915neveragain #RecognizeTheArmenianGenocide","0.00000","0.00000",,"null","326929584375357440","Sareen Habeshian","Those who cannot remember the past are condemned to repeat it #ArmenianGenocide #1915neveragain #RecognizeTheArmenianGenocide","Those who cannot remember the past are condemned to repeat it #ArmenianGenocide #1915neveragain #RecognizeTheArmenianGenocide",,"322","305","15808",,"0",,,,,,,"Wed Apr 24 01:24:21 +0000 2013","Sareeenn",,,"01","2013","04","24","04/24/2013"
"Wed Apr 24 15:46:11 +0000 2013","1366818371000","327146471948443649","Go hard or go home #1915NeverAgain http://t.co/l9h0slc7D3",,"athenaadmian","athena adamian","36",,"Fri Feb 18 14:11:33 +0000 2011","63","282",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,,,,,"en",,,"null","Go hard or go home #1915NeverAgain http://t.co/l9h0slc7D3","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"15","2013","04","24","04/24/2013"
"Wed Apr 24 02:01:59 +0000 2013","1366768919000","326939055235416064","RT @SosyBourouj: We will never forget #ArmenianGenocide #1915NeverAgain",,"afrei1","M-ley  ","43",,"Wed Mar 25 02:38:41 +0000 2009","316","1250",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,,,,,"en",,,"null","RT @SosyBourouj: We will never forget #ArmenianGenocide #1915NeverAgain","0.00000","0.00000",,"null","326862834698952706","Sosy Bouroujian","We will never forget #ArmenianGenocide #1915NeverAgain","We will never forget #ArmenianGenocide #1915NeverAgain",,"66","96","1609",,"0",,,,,,,"Tue Apr 23 20:59:07 +0000 2013","SosyBourouj",,,"02","2013","04","24","04/24/2013"
"Wed Apr 24 15:57:00 +0000 2013","1366819020000","327149194081091584","RT @shiroyani: I gained alot of respect for The Game ðŸ‘Œ #RecognizeArmenianGenocide #1915neveragain @thegame http://t.co/L4pj3pZnYN",,"xxmelbelle1D","MeLaNiE","512",,"Wed Oct 12 22:03:51 +0000 2011","572","6314",,,"web","false",,"null",,"null",,,,,,,,,,"en",,,"null","RT @shiroyani: I gained alot of respect for The Game ðŸ‘Œ #RecognizeArmenianGenocide #1915neveragain @thegame http://t.co/L4pj3pZnYN","0.00000","0.00000",,"null","327148962886848513","Isabella Shiroyan","I gained alot of respect for The Game ðŸ‘Œ #RecognizeArmenianGenocide #1915neveragain @thegame http://t.co/L4pj3pZnYN","I gained alot of respect for The Game ðŸ‘Œ #RecognizeArmenianGenocide #1915neveragain @thegame http://t.co/L4pj3pZnYN",,"177","91","1412",,"0",,,,,,,"Wed Apr 24 15:56:05 +0000 2013","shiroyani",,,"15","2013","04","24","04/24/2013"
"Wed Apr 24 05:35:38 +0000 2013","1366781738000","326992822030974976","RT @alenhovasapyan: Turks never won and never will #ArmenianGenocide #1915NeverAgain",,"LilitYousefian","Lilit Yousefian","260",,"Sat Jul 28 14:50:49 +0000 2012","208","4183",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,,,,,"en",,,"null","RT @alenhovasapyan: Turks never won and never will #ArmenianGenocide #1915NeverAgain","0.00000","0.00000",,"null","326992306865582080","supersonic","Turks never won and never will #ArmenianGenocide #1915NeverAgain","Turks never won and never will #ArmenianGenocide #1915NeverAgain",,"82","86","861",,"0",,,,,,,"Wed Apr 24 05:33:35 +0000 2013","alenhovasapyan",,,"05","2013","04","24","04/24/2013"
"Wed Apr 24 16:03:05 +0000 2013","1366819385000","327150724989464577","@ArianaGrande #RecognizeArmenianGenocide #RecognizeArmenianGenocide #RecognizeArmenianGenocide #RecognizeArmenianGenocide #1915NeverAgain",,"MBitakyan","Mrs. Kid Cudi","94",,"Sun Mar 17 18:20:31 +0000 2013","84","3170",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"ArianaGrande",,,,,,,,,,"en",,,"null","@ArianaGrande #RecognizeArmenianGenocide #RecognizeArmenianGenocide #RecognizeArmenianGenocide #RecognizeArmenianGenocide #1915NeverAgain","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"16","2013","04","24","04/24/2013"
"Wed Apr 24 02:49:47 +0000 2013","1366771787000","326951084490895360","RT @MichaelGhar: #1915NeverAgain #RecognizeTheArmenianGenocide",,"ElizabethTadevo","Elizabethâ˜¯","235",,"Tue Aug 14 14:13:24 +0000 2012","95","15316",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,,,,,"en",,,"null","RT @MichaelGhar: #1915NeverAgain #RecognizeTheArmenianGenocide","0.00000","0.00000",,"null","326950741807874048","Michael Gharibian","#1915NeverAgain #RecognizeTheArmenianGenocide","#1915NeverAgain #RecognizeTheArmenianGenocide",,"119","169","3783",,"0",,,,,,,"Wed Apr 24 02:48:25 +0000 2013","MichaelGhar",,,"02","2013","04","24","04/24/2013"
"Wed Apr 24 11:02:52 +0000 2013","1366801372000","327075172983128065","#98years #RecognizeArmenianGenocide #1915NeverAgain #98yearsofdenial",,"gotM0NEYca","Monica Bejakian","193",,"Tue Nov 01 23:41:11 +0000 2011","237","1729",,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false",,"null",,"null",,,,,,,,,,"en",,,"null","#98years #RecognizeArmenianGenocide #1915NeverAgain #98yearsofdenial","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"11","2013","04","24","04/24/2013"
"Wed Apr 24 10:46:43 +0000 2013","1366800403000","327071108698361856","@KimKardashian now im really proud to be a fan of yours! #armeniangenocide #recognize #1915neveragain",,"PatileD","Patile","403",,"Sat Apr 25 01:34:46 +0000 2009","439","14142",,,"web","false",,"327070157505703938",,"KimKardashian",,,,,,,,,,"en",,,"null","@KimKardashian now im really proud to be a fan of yours! #armeniangenocide #recognize #1915neveragain","0.00000","0.00000",,"null",,"null","null","null",,"0","0","0",,"0",,,,,,,,"null",,,"10","2013","04","24","04/24/2013"
